Date,Month,Year,National
12/30/1988,12,1988,0.0505
1/31/1989,1,1989,0.0515
2/28/1989,2,1989,0.052
3/31/1989,3,1989,0.0521
4/28/1989,4,1989,0.0531
5/31/1989,5,1989,0.0545
6/30/1989,6,1989,0.0542
7/31/1989,7,1989,0.053
8/31/1989,8,1989,0.0539
9/29/1989,9,1989,0.0551
10/31/1989,10,1989,0.0616
11/30/1989,11,1989,0.0641
12/29/1989,12,1989,0.0659
1/31/1990,1,1990,0.072
2/28/1990,2,1990,0.0736
3/30/1990,3,1990,0.0751
4/30/1990,4,1990,0.0737
5/31/1990,5,1990,0.0695
6/29/1990,6,1990,0.0725
7/31/1990,7,1990,0.0753
8/31/1990,8,1990,0.0806
9/28/1990,9,1990,0.0839
10/31/1990,10,1990,0.0756
11/30/1990,11,1990,0.0741
12/31/1990,12,1990,0.0716
1/31/1991,1,1991,0.0706
2/28/1991,2,1991,0.0695
3/29/1991,3,1991,0.0722
4/30/1991,4,1991,0.0731
5/31/1991,5,1991,0.0722
6/28/1991,6,1991,0.0732
7/31/1991,7,1991,0.0697
8/30/1991,8,1991,0.0659
9/30/1991,9,1991,0.0616
10/31/1991,10,1991,0.0615
11/29/1991,11,1991,0.0606
12/31/1991,12,1991,0.0566
1/31/1992,1,1992,0.056
2/28/1992,2,1992,0.0579
3/31/1992,3,1992,0.0572
4/30/1992,4,1992,0.0582
5/29/1992,5,1992,0.0575
6/30/1992,6,1992,0.0538
7/31/1992,7,1992,0.0487
8/31/1992,8,1992,0.0493
9/30/1992,9,1992,0.0478
10/30/1992,10,1992,0.0474
11/30/1992,11,1992,0.0476
12/31/1992,12,1992,0.0467
1/29/1993,1,1993,0.045
2/26/1993,2,1993,0.0433
3/31/1993,3,1993,0.0462
4/30/1993,4,1993,0.0476
5/31/1993,5,1993,0.0484
6/30/1993,6,1993,0.0461
7/30/1993,7,1993,0.044
8/31/1993,8,1993,0.0398
9/30/1993,9,1993,0.0368
10/29/1993,10,1993,0.0334
11/30/1993,11,1993,0.0285
12/31/1993,12,1993,0.0275
1/31/1994,1,1994,0.0331
2/28/1994,2,1994,0.0386
3/31/1994,3,1994,0.0382
4/29/1994,4,1994,0.04
5/31/1994,5,1994,0.0387
6/30/1994,6,1994,0.0419
7/29/1994,7,1994,0.042
8/31/1994,8,1994,0.0459
9/30/1994,9,1994,0.0439
10/31/1994,10,1994,0.0451
11/30/1994,11,1994,0.0438
12/30/1994,12,1994,0.04235
1/31/1995,1,1995,0.0428
2/28/1995,2,1995,0.04
3/31/1995,3,1995,0.0313
4/28/1995,4,1995,0.03005
5/31/1995,5,1995,0.02305
6/30/1995,6,1995,0.02275
7/31/1995,7,1995,0.0234
8/31/1995,8,1995,0.026
9/29/1995,9,1995,0.0218
10/31/1995,10,1995,0.0218
11/30/1995,11,1995,0.0206
12/29/1995,12,1995,0.0232
1/31/1996,1,1996,0.025
2/29/1996,2,1996,0.02835
3/29/1996,3,1996,0.0254
4/30/1996,4,1996,0.02905
5/31/1996,5,1996,0.0265
6/28/1996,6,1996,0.026825
7/31/1996,7,1996,0.0278
8/30/1996,8,1996,0.0227
9/30/1996,9,1996,0.0226
10/31/1996,10,1996,0.0196
11/29/1996,11,1996,0.0184
12/31/1996,12,1996,0.02005
1/31/1997,1,1997,0.01805
2/28/1997,2,1997,0.01825
3/31/1997,3,1997,0.01865
4/30/1997,4,1997,0.0197
5/30/1997,5,1997,0.0228
6/30/1997,6,1997,0.02045
7/31/1997,7,1997,0.018125
8/29/1997,8,1997,0.017
9/30/1997,9,1997,0.0158
10/31/1997,10,1997,0.014125
11/28/1997,11,1997,0.0148
12/31/1997,12,1997,0.01465
1/30/1998,1,1998,0.0165
2/27/1998,2,1998,0.01535
3/31/1998,3,1998,0.014925
4/30/1998,4,1998,0.01355
5/29/1998,5,1998,0.01165
6/30/1998,6,1998,0.013
7/31/1998,7,1998,0.01254
8/31/1998,8,1998,0.0119
9/30/1998,9,1998,0.0085742
10/30/1998,10,1998,0.007925
11/30/1998,11,1998,0.0089
12/31/1998,12,1998,0.0161
1/29/1999,1,1999,0.0153
2/26/1999,2,1999,0.01268
3/31/1999,3,1999,0.01075
4/30/1999,4,1999,0.0086
5/31/1999,5,1999,0.0084
6/30/1999,6,1999,0.0143
7/30/1999,7,1999,0.0134
8/31/1999,8,1999,0.0143
9/30/1999,9,1999,0.01185
10/29/1999,10,1999,0.0123605
11/30/1999,11,1999,0.013
