State,Number of projected Foreclosures (primarily in 2008- 2009)  ,Percent of Total,2008Q12,2008Q34,2008,Percent Error,2008Q34,2009,2010,2011,2012,Number of surrounding homes suffering price declines caused by nearby foreclosures ,Decrease in home value ($ million) ,Average decrease in home value per unit affected ($) ,,,,# of New Fcls (in M) ,# of Fcls and REOs at period end (in M) ,# of New Fcls (in M),# of Fcls and REOs at period end (in M) ,Assumed % of Subprime in Total Foreclosures 
NY,122192,0.05646523,17157.01661,84480.39743,101637.414,-0.16821548,85645.26408,95990.89104,90344.36803,73404.79903,73404.79903,71351,130,1816
OH,81039,0.037448325,11378.71112,56028.27458,67406.9857,-0.16821548,56800.82621,63662.15316,59917.32062,48682.823,48682.823,178166,340,1907
OK,18702,0.008642241,2625.953619,12930.08047,15556.03409,-0.16821548,13108.36821,14691.80997,13827.58586,11234.91351,11234.91351,97029,301,3098
OR,25771,0.011908844,3618.514101,17817.40476,21435.91886,-0.16821548,18063.08188,20245.03448,19054.1501,15481.49695,15481.49695,151430,507,3349
PA,72689,0.033589769,10206.28503,50255.29993,60461.58496,-0.16821548,50948.2503,57102.60801,53743.63107,43666.70025,43666.70025,167942,4110,24474
RI,7611,0.003517062,1068.66287,5262.04911,6330.71198,-0.16821548,5334.605415,5979.005759,5627.299538,4572.180874,4572.180874,244424,1693,6925
SC,26840,0.012402831,3768.612722,18556.48379,22325.09651,-0.16821548,18812.35177,21084.81337,19844.53023,16123.68081,16123.68081,57628,201,3482
SD,1849,0.000854428,259.6186633,1278.350914,1537.969577,-0.16821548,4521.543881,1452.526823,1367.084068,1110.755806,1110.755806,132896,247,1862
TN,42663,0.019714679,5990.325058,29496.09791,35486.42297,-0.16821548,29902.80789,33514.95502,31543.48708,25629.08325,25629.08325,40886,79,1936
TX,143091,0.06612271,20091.45168,98929.42704,119020.8787,-0.16821548,100293.5256,112408.6077,105796.3366,85959.52352,85959.52352,90615,385,4249
UT,20850,0.009634837,2927.554965,14415.15227,17342.70724,-0.16821548,14613.91708,16379.2235,15415.73977,12525.28856,12525.28856,223797,4236,18930
VA,58067,0.026832907,8153.205474,40146.02623,48299.23171,-0.16821548,40699.58385,45615.94106,42932.65041,34882.77846,34882.77846,47404,188,3965
VT,2080,0.000961173,292.0534449,1438.058356,1730.111801,-0.16821548,4520.543881,1633.994479,1537.877157,1249.52519,1249.52519,16790,42,2496
WA,38675,0.017871815,5430.368742,26738.89756,32169.2663,-0.16821548,27107.5896,30382.08484,28594.90338,23233.359,23233.359,18630,45,2441
WI,24661,0.01139591,3462.658656,17049.97939,20512.63804,-0.16821548,17285.07478,19373.04704,18233.45604,14814.68303,14814.68303,6460,21,3325
WV,6441,0.002976402,904.3828071,4453.141285,5357.524092,-0.16821548,4514.543881,5059.883864,4762.243637,3869.322955,3869.322955,18982,38,1976
WY,2110,0.000975036,296.2657542,1458.799582,1755.065337,-0.16821548,4519.543881,1657.561707,1560.058077,1267.547188,1267.547188,23761,51,2140
