Date,Month,Year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NE,NC,ND,NH,NJ,NM,NY,NV,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2/29/2008,2,2008,62,1515,1085,2151,6227,1996,260,,250,5870,3245,384,277,484,1443,1127,688,768,1311,451,1238,167,649,383,836,1127,231,240,5396,56,180,1230,711,2259,1750,1146,808,1459,1695,57,2081,144,1671,11216,698,2427,58,2538,888,275,118
3/31/2008,3,2008,49,1218,436,1842,2910,1059,349,,236,3893,2658,259,542,643,1107,989,413,690,1111,383,964,270,554,523,697,752,185,374,3925,97,204,808,499,864,536,1249,768,730,1682,55,1945,227,1613,7666,690,2045,122,1605,713,215,176
4/30/2008,4,2008,73,1247,469,2002,3401,1353,275,,265,3910,2916,254,712,712,1532,1436,527,729,1467,496,926,306,1085,903,806,661,228,515,3973,289,265,1008,503,1217,838,1907,805,897,1945,93,2465,502,1775,8473,834,1947,112,1827,1258,270,227
5/31/2008,5,2008,92,1204,629,2050,3506,1334,287,,239,3831,2786,196,738,763,1467,1294,480,641,1090,510,772,322,1085,1227,739,761,208,529,4132,239,223,788,540,1318,894,1786,743,901,1932,91,2206,410,1675,8006,995,1818,93,1788,1363,192,219
6/30/2008,6,2008,89,1045,521,2021,3917,1290,264,,260,3904,2445,280,474,893,1302,1256,405,651,967,513,905,270,1132,916,766,647,242,504,3760,149,240,766,542,1378,962,1861,748,862,1611,65,2015,343,1537,7876,781,1905,134,1741,1122,211,208
7/31/2008,7,2008,86,932,447,1772,2981,1141,321,,288,3910,1871,223,499,567,1277,1289,444,572,949,508,839,314,950,978,714,594,226,540,3807,193,256,817,413,1398,795,1584,722,817,1736,87,1781,400,1329,7624,723,1821,134,1660,1224,209,232
8/31/2008,8,2008,54,821,331,1426,2296,1305,279,,238,3232,1733,184,509,584,1025,1108,395,537,814,504,759,271,771,736,546,453,221,438,3187,157,198,751,437,1329,614,1394,671,655,1777,66,1509,199,1205,6584,604,1635,138,1370,968,238,149
9/30/2008,9,2008,66,821,414,1108,2261,1097,296,,239,2930,1922,255,573,537,1162,975,502,508,735,506,722,301,794,868,511,438,190,481,3080,194,203,740,342,1146,569,1417,636,631,1576,70,1371,319,1403,5544,553,1422,113,1433,967,179,176
10/31/2008,10,2008,37,684,336,857,2313,812,248,,170,2727,1371,76,542,351,1017,929,416,468,714,362,593,245,920,749,436,374,150,463,2408,195,186,740,337,1032,437,1384,534,470,1398,79,1099,186,970,5151,548,1789,70,1107,1036,171,187
11/30/2008,11,2008,20,516,212,602,1580,468,162,,122,1809,811,88,304,226,662,635,276,310,530,344,462,186,502,397,319,263,92,228,1633,99,86,492,199,661,244,907,381,301,908,56,878,104,526,3416,501,873,33,674,590,112,65
12/31/2008,12,2008,15,575,203,707,1692,430,136,,184,1725,828,140,155,206,389,459,177,292,674,285,470,100,272,319,248,262,62,149,1571,45,70,562,238,663,201,638,444,251,788,103,739,67,627,3579,280,1010,55,699,315,60,79
1/31/2009,1,2009,15,447,231,561,1150,392,90,,126,1694,937,108,117,134,289,306,161,221,778,233,359,104,204,159,212,382,60,103,1414,1,65,432,279,622,231,514,407,286,811,26,751,67,598,3680,240,887,38,600,178,63,53
