Year,Month,Dow
2002,5,9925.25
2002,6,9243.26
2002,7,8736.59
2002,8,8663.5
2002,9,7591.93
2002,10,8397.03
2002,11,8896.09
2002,12,8341.63
2003,1,8053.81
2003,2,7891.08
2003,3,7992.13
2003,4,8480.09
2003,5,8850.26
2003,6,8985.44
2003,7,9233.8
2003,8,9415.82
2003,9,9275.06
2003,10,9801.12
2003,11,9782.46
2003,12,10453.92
2004,1,10488.07
2004,2,10583.92
2004,3,10357.7
2004,4,10225.57
2004,5,10188.45
2004,6,10435.48
2004,7,10139.71
2004,8,10173.92
2004,9,10080.27
2004,10,10027.47
2004,11,10428.02
2004,12,10783.01
2005,1,10489.94
2005,2,10766.23
2005,3,10503.76
2005,4,10192.51
2005,5,10467.48
2005,6,10274.97
2005,7,10640.91
2005,8,10481.6
2005,9,10568.7
2005,10,10440.07
2005,11,10805.87
2005,12,10717.5
2006,1,10864.86
2006,2,10993.41
2006,3,11109.32
2006,4,11367.14
2006,5,11168.31
2006,6,11150.22
2006,7,11185.68
2006,8,11381.15
2006,9,11679.07
2006,10,12080.73
2006,11,12221.93
2006,12,12463.15
2007,1,12621.69
2007,2,12268.63
2007,3,12354.35
2007,4,13062.91
2007,5,13627.64
2007,6,13408.62
2007,7,13211.99
2007,8,13357.74
2007,9,13895.63
2007,10,13930.01
2007,11,13371.72
2007,12,13264.82
2008,1,12650.36
2008,2,12266.39
2008,3,12262.89
2008,4,12820.13
2008,5,12638.32
2008,6,11350.01
2008,7,11378.02
2008,8,11543.55
2008,9,10850.66
2008,10,9325.01
2008,11,8829.04
2008,12,8776.39
2009,1,8000.86
2009,2,7062.93
2009,3,7608.92
2009,4,8168.12
2009,5,8574.65
