WI	1975	1	61.44
WI	1975	2	62.12
WI	1975	3	63.32
WI	1975	4	69.41
WI	1976	1	64.86
WI	1976	2	66.04
WI	1976	3	68.54
WI	1976	4	69.42
WI	1977	1	72.96
WI	1977	2	75
WI	1977	3	78.26
WI	1977	4	80.06
WI	1978	1	82.93
WI	1978	2	86.7
WI	1978	3	88.72
WI	1978	4	90.95
WI	1979	1	94.84
WI	1979	2	97.45
WI	1979	3	96.63
WI	1979	4	98.8
WI	1980	1	100
WI	1980	2	98.81
WI	1980	3	101.14
WI	1980	4	100.89
WI	1981	1	103.27
WI	1981	2	101.15
WI	1981	3	99.79
WI	1981	4	91.84
WI	1982	1	87.39
WI	1982	2	94.79
WI	1982	3	96.59
WI	1982	4	98.64
WI	1983	1	102.09
WI	1983	2	104.59
WI	1983	3	104.68
WI	1983	4	104.25
WI	1984	1	104.51
WI	1984	2	106.17
WI	1984	3	106.57
WI	1984	4	104.75
WI	1985	1	106.57
WI	1985	2	108.21
WI	1985	3	109.15
WI	1985	4	109.32
WI	1986	1	110.78
WI	1986	2	112.02
WI	1986	3	112.41
WI	1986	4	113
WI	1987	1	113.66
WI	1987	2	115.01
WI	1987	3	116.41
WI	1987	4	117.91
WI	1988	1	118.83
WI	1988	2	120.36
WI	1988	3	122.68
WI	1988	4	123.5
WI	1989	1	125.55
WI	1989	2	126.96
WI	1989	3	129.16
WI	1989	4	129.99
WI	1990	1	132.01
WI	1990	2	134.14
WI	1990	3	136
WI	1990	4	136.31
WI	1991	1	138.2
WI	1991	2	140.23
WI	1991	3	142.33
WI	1991	4	143.7
WI	1992	1	145.35
WI	1992	2	147.97
WI	1992	3	149.77
WI	1992	4	151.72
WI	1993	1	152.89
WI	1993	2	155.06
WI	1993	3	157.31
WI	1993	4	159.32
WI	1994	1	163.53
WI	1994	2	169.52
WI	1994	3	173.21
WI	1994	4	173.29
WI	1995	1	175.24
WI	1995	2	179.15
WI	1995	3	181.7
WI	1995	4	184.04
WI	1996	1	185.53
WI	1996	2	187.23
WI	1996	3	189.13
WI	1996	4	191.48
WI	1997	1	193.52
WI	1997	2	195.21
WI	1997	3	198.07
WI	1997	4	200.21
WI	1998	1	201.46
WI	1998	2	203.77
WI	1998	3	206.13
WI	1998	4	206.97
WI	1999	1	210.65
WI	1999	2	213.82
WI	1999	3	216.44
WI	1999	4	217.94
WI	2000	1	224.58
WI	2000	2	225.46
WI	2000	3	228.87
WI	2000	4	231.78
WI	2001	1	235.58
WI	2001	2	238.7
WI	2001	3	241.79
WI	2001	4	243.77
WI	2002	1	247.73
WI	2002	2	250.96
WI	2002	3	253.76
WI	2002	4	255.64
WI	2003	1	258.26
WI	2003	2	260.38
WI	2003	3	264.38
WI	2003	4	273
WI	2004	1	275.07
WI	2004	2	280.79
WI	2004	3	291.25
WI	2004	4	294.99
WI	2005	1	300.43
WI	2005	2	306.15
WI	2005	3	312.36
WI	2005	4	316.43
WI	2006	1	319.49
WI	2006	2	320.34
WI	2006	3	322.59
WI	2006	4	327.67
WI	2007	1	329.26
WI	2007	2	329.93
WI	2007	3	330.42
WI	2007	4	333.54
WI	2008	1	335.14
WI	2008	2	333.05
WI	2008	3	326.44
