        GPH.dhat GPH.dhat.se  Sperio.dhat Sperio.dhat.se wfarima.dhat wfarima.dhat.se
51 -0.382476002    0.2767190 -0.227693296       0.1886184    0.00000000       0.00000000
        GPH.Dhat GPH.Dhat.se   Sperio.Dhat Sperio.Dhat.se  wfarima.Dhat wfarima.Dhat.se
1  -2.782352e-02   0.2733393  0.0103275263      0.1224311 -0.0001562500      0.06771025
2  -7.886077e-03   0.2733393  0.0059581839      0.1224311 -0.0004980469      0.06771025
3  -1.225167e-02   0.2733393  0.0172152769      0.1224311  0.0006640625      0.06771025
4   7.926076e-02   0.2733572 -0.0044280103      0.1221468 -0.0573046875      0.06796432
5   6.391308e-02   0.2733572  0.0826009876      0.1221468 -0.0146484375      0.06796432
6  -3.435321e-02   0.2733572 -0.0349454734      0.1221468 -0.0095898437      0.06796432
7  -4.708759e-02   0.2733572 -0.0468921262      0.1221468 -0.0121875000      0.06796432
8   2.063313e-02   0.2733572  0.0013013890      0.1221468 -0.0067187500      0.06796432
9   8.903958e-02   0.2733572 -0.0201119300      0.1221468 -0.0257910156      0.06796432
10  1.034742e-02   0.2733572 -0.0005361283      0.1221468 -0.0094531250      0.06796432
11  8.449987e-02   0.2733572  0.0188613721      0.1221468  0.0470117187      0.06796433
12 -6.594827e-03   0.2733393  0.0090323198      0.1224311  0.0014160156      0.06771025
13 -2.204632e-04   0.2733572  0.0060901977      0.1221468  0.0114648438      0.06796433
14  6.332022e-02   0.2733572  0.0243587168      0.1221468  0.0211718750      0.06796433
15  5.049600e-02   0.2733393  0.0655341465      0.1224311 -0.0042578125      0.06771025
16  1.856728e-02   0.2733572  0.0114862291      0.1221468  0.0749023438      0.06796433
17  8.166997e-03   0.2733572  0.0161636819      0.1221468  0.0747656250      0.06796433
18 -1.233069e-01   0.2733572  0.0362481600      0.1221468  0.1004003906      0.06796433
19  4.877897e-02   0.2733572 -0.0442609276      0.1221468 -0.0160839844      0.06796432
20 -3.121720e-02   0.2733572  0.0115943894      0.1221468  0.0600000000      0.06796433
21  9.624281e-02   0.2733572  0.0606462490      0.1221468 -0.0507421875      0.06796432
22  3.185604e-03   0.2733572  0.0040776030      0.1221468  0.0214453125      0.06796433
23 -8.658362e-02   0.2733572 -0.0689913203      0.1221468 -0.0644140625      0.06796432
24 -9.088654e-03   0.2733572 -0.0107123046      0.1221468 -0.0682421875      0.06796432
25 -1.348679e-01   0.2733393  0.0946621412      0.1224311  0.0072265625      0.06771025
26 -1.691543e-02   0.2733393  0.0242155595      0.1224311 -0.0022070312      0.06771025
27 -1.795039e-01   0.2733393  0.1339141492      0.1224311  0.0006640625      0.06771025
28  1.967369e-01   0.2733572  0.0839194617      0.1221468 -0.0139648437      0.06796432
29  5.962468e-03   0.2733572  0.0092971894      0.1221468  0.0329296875      0.06796433
30  1.536585e-01   0.2733572 -0.0102871648      0.1221468  0.0546679688      0.06796433
31 -4.312889e-04   0.2733572  0.0014436901      0.1221468  0.0036718750      0.06796433
32  9.009993e-05   0.2733572  0.0177867895      0.1221468  0.0600000000      0.06796433
33 -3.463351e-02   0.2733572 -0.0545097786      0.1221468 -0.0130078125      0.06796432
34 -1.614118e-02   0.2733572  0.0331283746      0.1221468 -0.0933984375      0.06796432
35 -3.421411e-02   0.2733572  0.0346894454      0.1221468  0.0485156250      0.06796433
36 -3.824728e-01   0.2733572 -0.0023617681      0.1221468  0.0008007813      0.06796433
37  1.328063e-02   0.2733572 -0.0296091090      0.1221468  0.0206250000      0.06796433
38 -1.865254e-01   0.2733572 -0.0127198491      0.1221468 -0.0187500000      0.06796432
39 -7.794850e-02   0.2733572 -0.0038155882      0.1221468 -0.0463671875      0.06796432
40 -7.334366e-04   0.2733756  0.0024274602      0.1226168  0.0408593750      0.06822128
41 -5.874285e-03   0.2733393  0.0420071834      0.1224311  0.0013476562      0.06771025
42  1.063817e-02   0.2733393 -0.0357148884      0.1224311  0.0012109375      0.06771025
43  3.038529e-01   0.2733572 -0.0374723296      0.1221468  0.0535742188      0.06796433
44  1.102422e-03   0.2733572 -0.0015534742      0.1221468  0.0048339844      0.06796433
45 -2.102108e-02   0.2733572 -0.0717363874      0.1221468 -0.0374804687      0.06796432
46  1.065501e-01   0.2733572  0.0090053859      0.1221468  0.0888476562      0.06796433
47 -4.851926e-03   0.2733393  0.0249011637      0.1224311  0.0099609375      0.06771025
48 -7.284371e-02   0.2733393  0.1296214695      0.1224311 -0.0083593750      0.06771025
49  2.197038e-02   0.2733572 -0.2005024837      0.1221468 -0.0430859375      0.06796432
50 -2.927955e-02   0.2733393  0.0053848972      0.1224311  0.0225390625      0.06771025
51 -5.221839e-03   0.2733572 -0.0601987474      0.1221468  0.0150195313      0.06796433
       GPH.Dstar GPH.Dstar.se Sperio.Dstar Sperio.Dstar.se wfarima.Dstar wfarima.Dstar.se
1  -0.0318530806    0.3003269  0.070633997      0.19005311    0.03106058       0.07967761
2  -0.0006689924    0.2846809  0.076750432      0.19054944    0.02849325       0.08219487
3  -0.0274566958    0.2769942  0.084860279      0.18147589    0.03593267       0.08050146
4   0.0761467669    0.2016681  0.028239816      0.10753779   -0.03710116       0.08230817
5   0.0708945782    0.1936555  0.110942503      0.11351352    0.01709109       0.07632314
6   0.0195834903    0.1828579  0.003623966      0.13754478    0.00000000       0.00000000
7  -0.0201148311    0.2850041 -0.021320469      0.12633867    0.00000000       0.00000000
8   0.0201383110    0.2446571  0.043787651      0.16332109    0.00000000       0.00000000
9   0.0000000000    0.0000000 -0.006963492      0.16536845    0.00000000       0.00000000
10  0.0224733386    0.2499913  0.057106308      0.20108409    0.01422772       0.08243651
11  0.0573678533    0.3201153  0.076140329      0.15119460    0.00000000       0.00000000
12 -0.0305548608    0.2958308  0.077108280      0.19049008    0.03240113       0.07648013
13  0.0129256538    0.2550659  0.074742377      0.21865944    0.00000000       0.00000000
14  0.0305412958    0.2859038  0.083859822      0.15826549    0.00000000       0.00000000
15  0.0127531726    0.4324839  0.109850250      0.10733654    0.03194126       0.08103067
16  0.0891874507    0.1585125  0.098577828      0.18365492    0.00000000       0.00000000
17  0.0421760547    0.2674052  0.074771815      0.17892074    0.00000000       0.00000000
18  0.0754848829    0.2210194  0.098027687      0.15594840    0.00000000       0.00000000
19  0.1140826609    0.1375143  0.003978885      0.17038076    0.00000000       0.00000000
20  0.0676929951    0.3310868  0.079083429      0.19634880    0.00000000       0.00000000
21  0.0713535091    0.1747392  0.086436140      0.11489093   -0.03707337       0.08274539
22  0.0038994547    0.2844180  0.061187555      0.21412236    0.04438410       0.08803469
23 -0.0503232393    0.2469616 -0.011361863      0.16912029    0.00000000       0.00000000
24  0.0200454717    0.2843356  0.018590427      0.10861052    0.00000000       0.00000000
25 -0.0961857323    0.2996067  0.145065647      0.14381681    0.03625883       0.07673577
26 -0.0144099713    0.2903509  0.114108047      0.17397111    0.02319249       0.07961111
27  0.0000000000    0.0000000  0.000000000      0.00000000    0.02985804       0.07911680
28  0.1433257737    0.3392967  0.116091478      0.06026139    0.00000000       0.00000000
29  0.0050976408    0.2733307  0.027769520      0.20001094    0.00000000       0.00000000
30  0.1013189111    0.2846491  0.034502014      0.16912582    0.00000000       0.00000000
31  0.0143248683    0.2652205  0.069052324      0.21245782    0.01824514       0.08381884
32  0.0289721327    0.3386362  0.074781534      0.17240092    0.07209744       0.08362317
33  0.0019271805    0.2176465 -0.010505049      0.18230567    0.00000000       0.00000000
34 -0.0015298404    0.1227293  0.046670336      0.07643587    0.00000000       0.00000000
35  0.0415537359    0.2624118  0.102974136      0.16796303    0.00000000       0.00000000
36 -0.2542573520    0.2521876  0.032766625      0.11132633    0.00000000       0.00000000
37 -0.0148999681    0.2747181 -0.004122977      0.15959625    0.00000000       0.00000000
38 -0.1371208148    0.2542488  0.016747395      0.09491692    0.00000000       0.00000000
39 -0.0354366579    0.1616285  0.027509820      0.10865930    0.00000000       0.00000000
40  0.0260915870    0.2763995  0.058794115      0.20198578    0.00000000       0.00000000
41 -0.0027525454    0.2689843  0.117789468      0.16980543    0.03023979       0.07813982
42 -0.0060890916    0.2938135 -0.025527702      0.17219979    0.01960666       0.08124013
43  0.1922394717    0.3599510  0.001587326      0.09436738    0.00000000       0.00000000
44  0.0059760465    0.2803865  0.005856252      0.20050714    0.00000000       0.00000000
45  0.0181537425    0.1794714 -0.029274224      0.10858338    0.00000000       0.00000000
46  0.0618949744    0.2883431  0.054989416      0.16730568    0.00000000       0.00000000
47 -0.0111081935    0.2809200  0.080084752      0.17482592    0.02463616       0.07961901
48  0.0000000000    0.0000000  0.191894368      0.14496396    0.01457279       0.08457686
49  0.0000000000    0.0000000 -0.186204137      0.12330524    0.00000000       0.00000000
50 -0.0395219226    0.3158325  0.079638972      0.19074420    0.00000000       0.00000000
51 -0.0415669307    0.2779072 -0.034466422      0.13826204    0.00000000       0.00000000
