AK	0.335979676	0.273339334	0.395817239	0.243766748	0.339260011	0.148750128
AR	-0.068618324	0.273339334	-0.090506093	0.256976256	-0.069615753	0.122127725
AZ	0.378653505	0.273339334	0.378076409	0.302273503	0.439828733	0.130603832
FL	0.47491329	0.273339334	0.496153204	0.239901008	0.247004612	0.161382829
IN	0.30701712	0.273339334	0.309937596	0.282379925	0.306121886	0.131163429
KY	0.346754063	0.273339334	0.378910209	0.285796449	0.371192133	0.140948381
MS	0.248408922	0.273339334	0.246307325	0.279381532	0.251215273	0.145002561
ND	0.176010344	0.273339334	0.157803235	0.27683178	0.150636323	0.13584355
SD	0.046612875	0.273339334	0.094807478	0.256940705	0.04036137	0.150785099
WV	0.299145463	0.273339334	0.324514586	0.246304985	0.310266333	0.144389318
