States,AR order,d,MA order,m.order,s.order
AK,,0.335979676,,,
AR,,-0.068618324,,,
AZ,,0.378653505,,,
FL,,0.47491329,,,
IN,,0.30701712,,,
KY,,0.346754063,,,
MS,,0.248408922,,,
ND,,0.176010344,,,
SD,,0.046612875,,,
WV,,0.299145463,,,
