Date,Month,Year,National
12/30/1988,12,1988,5.05
1/31/1989,1,1989,5.15
2/28/1989,2,1989,5.2
3/31/1989,3,1989,5.21
4/28/1989,4,1989,5.31
5/31/1989,5,1989,5.45
6/30/1989,6,1989,5.42
7/31/1989,7,1989,5.3
8/31/1989,8,1989,5.39
9/29/1989,9,1989,5.51
10/31/1989,10,1989,6.16
11/30/1989,11,1989,6.41
12/29/1989,12,1989,6.59
1/31/1990,1,1990,7.2
2/28/1990,2,1990,7.36
3/30/1990,3,1990,7.51
4/30/1990,4,1990,7.37
5/31/1990,5,1990,6.95
6/29/1990,6,1990,7.25
7/31/1990,7,1990,7.53
8/31/1990,8,1990,8.06
9/28/1990,9,1990,8.39
10/31/1990,10,1990,7.56
11/30/1990,11,1990,7.41
12/31/1990,12,1990,7.16
1/31/1991,1,1991,7.06
2/28/1991,2,1991,6.95
3/29/1991,3,1991,7.22
4/30/1991,4,1991,7.31
5/31/1991,5,1991,7.22
6/28/1991,6,1991,7.32
7/31/1991,7,1991,6.97
8/30/1991,8,1991,6.59
9/30/1991,9,1991,6.16
10/31/1991,10,1991,6.15
11/29/1991,11,1991,6.06
12/31/1991,12,1991,5.66
1/31/1992,1,1992,5.6
2/28/1992,2,1992,5.79
3/31/1992,3,1992,5.72
4/30/1992,4,1992,5.82
5/29/1992,5,1992,5.75
6/30/1992,6,1992,5.38
7/31/1992,7,1992,4.87
8/31/1992,8,1992,4.93
9/30/1992,9,1992,4.78
10/30/1992,10,1992,4.74
11/30/1992,11,1992,4.76
12/31/1992,12,1992,4.67
1/29/1993,1,1993,4.5
2/26/1993,2,1993,4.33
3/31/1993,3,1993,4.62
4/30/1993,4,1993,4.76
5/31/1993,5,1993,4.84
6/30/1993,6,1993,4.61
7/30/1993,7,1993,4.4
8/31/1993,8,1993,3.98
9/30/1993,9,1993,3.68
10/29/1993,10,1993,3.34
11/30/1993,11,1993,2.85
12/31/1993,12,1993,2.75
1/31/1994,1,1994,3.31
2/28/1994,2,1994,3.86
3/31/1994,3,1994,3.82
4/29/1994,4,1994,4
5/31/1994,5,1994,3.87
6/30/1994,6,1994,4.19
7/29/1994,7,1994,4.2
8/31/1994,8,1994,4.59
9/30/1994,9,1994,4.39
10/31/1994,10,1994,4.51
11/30/1994,11,1994,4.38
12/30/1994,12,1994,4.235
1/31/1995,1,1995,4.28
2/28/1995,2,1995,4
3/31/1995,3,1995,3.13
4/28/1995,4,1995,3.005
5/31/1995,5,1995,2.305
6/30/1995,6,1995,2.275
7/31/1995,7,1995,2.34
8/31/1995,8,1995,2.6
9/29/1995,9,1995,2.18
10/31/1995,10,1995,2.18
11/30/1995,11,1995,2.06
12/29/1995,12,1995,2.32
1/31/1996,1,1996,2.5
2/29/1996,2,1996,2.835
3/29/1996,3,1996,2.54
4/30/1996,4,1996,2.905
5/31/1996,5,1996,2.65
6/28/1996,6,1996,2.6825
7/31/1996,7,1996,2.78
8/30/1996,8,1996,2.27
9/30/1996,9,1996,2.26
10/31/1996,10,1996,1.96
11/29/1996,11,1996,1.84
12/31/1996,12,1996,2.005
1/31/1997,1,1997,1.805
2/28/1997,2,1997,1.825
3/31/1997,3,1997,1.865
4/30/1997,4,1997,1.97
5/30/1997,5,1997,2.28
6/30/1997,6,1997,2.045
7/31/1997,7,1997,1.8125
8/29/1997,8,1997,1.7
9/30/1997,9,1997,1.58
10/31/1997,10,1997,1.4125
11/28/1997,11,1997,1.48
12/31/1997,12,1997,1.465
1/30/1998,1,1998,1.65
2/27/1998,2,1998,1.535
3/31/1998,3,1998,1.4925
4/30/1998,4,1998,1.355
5/29/1998,5,1998,1.165
6/30/1998,6,1998,1.3
7/31/1998,7,1998,1.254
8/31/1998,8,1998,1.19
9/30/1998,9,1998,0.85742
10/30/1998,10,1998,0.7925
11/30/1998,11,1998,0.89
12/31/1998,12,1998,1.61
1/29/1999,1,1999,1.53
2/26/1999,2,1999,1.268
3/31/1999,3,1999,1.075
4/30/1999,4,1999,0.86
5/31/1999,5,1999,0.84
6/30/1999,6,1999,1.43
7/30/1999,7,1999,1.34
8/31/1999,8,1999,1.43
9/30/1999,9,1999,1.185
10/29/1999,10,1999,1.23605
11/30/1999,11,1999,1.3
12/31/1999,12,1999,1.26
1/31/2000,1,2000,1.23605
2/29/2000,2,2000,1.31
3/31/2000,3,2000,1.39688
4/28/2000,4,2000,1.28
5/31/2000,5,2000,1.195
6/30/2000,6,2000,1.285
7/31/2000,7,2000,1.185
8/31/2000,8,2000,1.39
9/29/2000,9,2000,1.3175
10/31/2000,10,2000,1.23
11/30/2000,11,2000,1.02
12/29/2000,12,2000,1.01
1/31/2001,1,2001,0.915
2/28/2001,2,2001,0.66
3/30/2001,3,2001,0.62
4/30/2001,4,2001,0.5825
5/31/2001,5,2001,0.4635
6/29/2001,6,2001,0.42
7/31/2001,7,2001,0.4705
8/31/2001,8,2001,0.5345
9/28/2001,9,2001,0.5355
10/31/2001,10,2001,0.4775
11/30/2001,11,2001,0.4815
12/31/2001,12,2001,0.52
1/31/2002,1,2002,0.64025
2/28/2002,2,2002,0.6175
3/29/2002,3,2002,0.558
4/30/2002,4,2002,0.4975
5/31/2002,5,2002,0.515
6/28/2002,6,2002,0.45
7/31/2002,7,2002,0.4375
8/30/2002,8,2002,0.345
9/30/2002,9,2002,0.372
10/31/2002,10,2002,0.2955
11/29/2002,11,2002,0.319
12/31/2002,12,2002,0.3255
1/31/2003,1,2003,0.309
2/28/2003,2,2003,0.29
3/31/2003,3,2003,0.271
4/30/2003,4,2003,0.246
5/30/2003,5,2003,0.19875
6/30/2003,6,2003,0.397
7/31/2003,7,2003,0.367
8/29/2003,8,2003,0.821
9/30/2003,9,2003,0.82
10/31/2003,10,2003,0.819
11/28/2003,11,2003,0.7215
12/31/2003,12,2003,0.725
1/30/2004,1,2004,0.584
2/27/2004,2,2004,0.546
3/31/2004,3,2004,0.738
4/30/2004,4,2004,0.772
5/31/2004,5,2004,0.753
6/30/2004,6,2004,0.93
7/30/2004,7,2004,1.005
8/31/2004,8,2004,0.776
9/30/2004,9,2004,0.722
10/29/2004,10,2004,0.71
11/30/2004,11,2004,0.715
12/31/2004,12,2004,0.673
1/31/2005,1,2005,0.609
2/28/2005,2,2005,0.739
3/31/2005,3,2005,0.6275
4/29/2005,4,2005,0.523
5/31/2005,5,2005,0.533
6/30/2005,6,2005,0.469
7/29/2005,7,2005,0.616
8/31/2005,8,2005,0.64375
9/30/2005,9,2005,0.856
10/31/2005,10,2005,0.939
11/30/2005,11,2005,0.87
12/30/2005,12,2005,0.951
1/31/2006,1,2006,1.02
2/28/2006,2,2006,1.274
3/31/2006,3,2006,1.54
4/28/2006,4,2006,1.5845
5/31/2006,5,2006,1.5265
6/30/2006,6,2006,1.599
7/31/2006,7,2006,1.571
8/31/2006,8,2006,1.24
9/29/2006,9,2006,1.27
10/31/2006,10,2006,1.35375
11/30/2006,11,2006,1.3475
12/29/2006,12,2006,1.372
1/31/2007,1,2007,1.31625
2/28/2007,2,2007,1.3475
3/30/2007,3,2007,1.343
4/30/2007,4,2007,1.347
5/31/2007,5,2007,1.525
6/29/2007,6,2007,1.637
7/31/2007,7,2007,1.5875
8/31/2007,8,2007,1.385
9/28/2007,9,2007,1.4
10/31/2007,10,2007,1.295
11/30/2007,11,2007,1.2625
12/31/2007,12,2007,1.20375
1/31/2008,1,2008,1.09625
2/29/2008,2,2008,1.096
3/31/2008,3,2008,1.0325
4/30/2008,4,2008,1.3425
5/30/2008,5,2008,1.558
6/30/2008,6,2008,1.4975
7/31/2008,7,2008,1.356
8/29/2008,8,2008,1.274
9/30/2008,9,2008,1.36
10/31/2008,10,2008,1.179
11/28/2008,11,2008,1.122
12/31/2008,12,2008,0.9075
1/30/2009,1,2009,0.945
2/27/2009,2,2009,0.87
3/31/2009,3,2009,0.968
