Date,Month,Year,National
12/30/1988,12,1988,0.0517
1/31/1989,1,1989,0.0522
2/28/1989,2,1989,0.052
3/31/1989,3,1989,0.0528
4/28/1989,4,1989,0.0545
5/31/1989,5,1989,0.0553
6/30/1989,6,1989,0.0552
7/31/1989,7,1989,0.053
8/31/1989,8,1989,0.0536
9/29/1989,9,1989,0.0547
10/31/1989,10,1989,0.0584
11/30/1989,11,1989,0.0608
12/29/1989,12,1989,0.0622
1/31/1990,1,1990,0.0691
2/28/1990,2,1990,0.0715
3/30/1990,3,1990,0.073
4/30/1990,4,1990,0.0726
5/31/1990,5,1990,0.0686
6/29/1990,6,1990,0.0703
7/31/1990,7,1990,0.0736
8/31/1990,8,1990,0.0786
9/28/1990,9,1990,0.0803
10/31/1990,10,1990,0.0737
11/30/1990,11,1990,0.0725
12/31/1990,12,1990,0.0689
1/31/1991,1,1991,0.0674
2/28/1991,2,1991,0.0666
3/29/1991,3,1991,0.0688
4/30/1991,4,1991,0.0708
5/31/1991,5,1991,0.0706
6/28/1991,6,1991,0.0717
7/31/1991,7,1991,0.0688
8/30/1991,8,1991,0.0658
9/30/1991,9,1991,0.0626
10/31/1991,10,1991,0.062
11/29/1991,11,1991,0.0618
12/31/1991,12,1991,0.0582
1/31/1992,1,1992,0.0583
2/28/1992,2,1992,0.0592
3/31/1992,3,1992,0.0586
4/30/1992,4,1992,0.0607
5/29/1992,5,1992,0.0596
6/30/1992,6,1992,0.0579
7/31/1992,7,1992,0.0554
8/31/1992,8,1992,0.0557
9/30/1992,9,1992,0.0529
10/30/1992,10,1992,0.0526
11/30/1992,11,1992,0.0531
12/31/1992,12,1992,0.0518
1/29/1993,1,1993,0.05
2/26/1993,2,1993,0.0468
3/31/1993,3,1993,0.0493
4/30/1993,4,1993,0.0508
5/31/1993,5,1993,0.0514
6/30/1993,6,1993,0.0499
7/30/1993,7,1993,0.04825
8/31/1993,8,1993,0.04605
9/30/1993,9,1993,0.0428
10/29/1993,10,1993,0.04085
11/30/1993,11,1993,0.0386
12/31/1993,12,1993,0.0362
1/31/1994,1,1994,0.0417
2/28/1994,2,1994,0.0449
3/31/1994,3,1994,0.0436
4/29/1994,4,1994,0.0437
5/31/1994,5,1994,0.0432
6/30/1994,6,1994,0.0461
7/29/1994,7,1994,0.04675
8/31/1994,8,1994,0.0494
9/30/1994,9,1994,0.0479
10/31/1994,10,1994,0.0485
11/30/1994,11,1994,0.0478
12/30/1994,12,1994,0.04715
1/31/1995,1,1995,0.048
2/28/1995,2,1995,0.0458
3/31/1995,3,1995,0.03835
4/28/1995,4,1995,0.037
5/31/1995,5,1995,0.03195
6/30/1995,6,1995,0.03115
7/31/1995,7,1995,0.03145
8/31/1995,8,1995,0.0345
9/29/1995,9,1995,0.0304
10/31/1995,10,1995,0.0317
11/30/1995,11,1995,0.0309
12/29/1995,12,1995,0.0335
1/31/1996,1,1996,0.03385
2/29/1996,2,1996,0.0355
3/29/1996,3,1996,0.0333
4/30/1996,4,1996,0.036
5/31/1996,5,1996,0.033975
6/28/1996,6,1996,0.03395
7/31/1996,7,1996,0.0347
8/30/1996,8,1996,0.0319
9/30/1996,9,1996,0.0312
10/31/1996,10,1996,0.0288
11/29/1996,11,1996,0.0278
12/31/1996,12,1996,0.03005
1/31/1997,1,1997,0.0279
2/28/1997,2,1997,0.0282
3/31/1997,3,1997,0.02675
4/30/1997,4,1997,0.02805
5/30/1997,5,1997,0.02995
6/30/1997,6,1997,0.0282
7/31/1997,7,1997,0.025975
8/29/1997,8,1997,0.02495
9/30/1997,9,1997,0.0241
10/31/1997,10,1997,0.0214
11/28/1997,11,1997,0.0231
12/31/1997,12,1997,0.0222
1/30/1998,1,1998,0.0238
2/27/1998,2,1998,0.0228
3/31/1998,3,1998,0.022225
4/30/1998,4,1998,0.02095
5/29/1998,5,1998,0.019
6/30/1998,6,1998,0.0197
7/31/1998,7,1998,0.01919
8/31/1998,8,1998,0.0187
9/30/1998,9,1998,0.0132492
10/30/1998,10,1998,0.0131
11/30/1998,11,1998,0.0154
12/31/1998,12,1998,0.02405
1/29/1999,1,1999,0.0232
2/26/1999,2,1999,0.02228
3/31/1999,3,1999,0.01995
4/30/1999,4,1999,0.01735
5/31/1999,5,1999,0.0184
6/30/1999,6,1999,0.0234
7/30/1999,7,1999,0.02255
8/31/1999,8,1999,0.0234
9/30/1999,9,1999,0.02145
10/29/1999,10,1999,0.0221
11/30/1999,11,1999,0.02185
12/31/1999,12,1999,0.0204
1/31/2000,1,2000,0.0199985
2/29/2000,2,2000,0.0218075
3/31/2000,3,2000,0.02075
4/28/2000,4,2000,0.0204
5/31/2000,5,2000,0.0193
6/30/2000,6,2000,0.02005
7/31/2000,7,2000,0.0195
8/31/2000,8,2000,0.0217
9/29/2000,9,2000,0.020875
10/31/2000,10,2000,0.0206
11/30/2000,11,2000,0.0177
12/29/2000,12,2000,0.01785
1/31/2001,1,2001,0.016525
2/28/2001,2,2001,0.0138
3/30/2001,3,2001,0.0135
4/30/2001,4,2001,0.014075
5/31/2001,5,2001,0.012795
6/29/2001,6,2001,0.0122
7/31/2001,7,2001,0.013455
8/31/2001,8,2001,0.014185
9/28/2001,9,2001,0.014405
10/31/2001,10,2001,0.013305
11/30/2001,11,2001,0.012705
12/31/2001,12,2001,0.0135
1/31/2002,1,2002,0.014785
2/28/2002,2,2002,0.0143
3/29/2002,3,2002,0.01391
4/30/2002,4,2002,0.013475
5/31/2002,5,2002,0.01348
6/28/2002,6,2002,0.01255
7/31/2002,7,2002,0.01263
8/30/2002,8,2002,0.01119
9/30/2002,9,2002,0.01115
10/31/2002,10,2002,0.009465
11/29/2002,11,2002,0.00927
12/31/2002,12,2002,0.008905
1/31/2003,1,2003,0.00809
2/28/2003,2,2003,0.007625
3/31/2003,3,2003,0.00663
4/30/2003,4,2003,0.00581
5/30/2003,5,2003,0.0053125
6/30/2003,6,2003,0.00787
7/31/2003,7,2003,0.00907
8/29/2003,8,2003,0.014505
9/30/2003,9,2003,0.014475
10/31/2003,10,2003,0.01496
11/28/2003,11,2003,0.01353
12/31/2003,12,2003,0.01403
1/30/2004,1,2004,0.013095
2/27/2004,2,2004,0.012365
3/31/2004,3,2004,0.01467
4/30/2004,4,2004,0.01565
5/31/2004,5,2004,0.01548
6/30/2004,6,2004,0.0184
7/30/2004,7,2004,0.01899
8/31/2004,8,2004,0.01612
9/30/2004,9,2004,0.01524
10/29/2004,10,2004,0.01523
11/30/2004,11,2004,0.01538
12/31/2004,12,2004,0.01485
1/31/2005,1,2005,0.01391
2/28/2005,2,2005,0.01549
3/31/2005,3,2005,0.01395
4/29/2005,4,2005,0.01286
5/31/2005,5,2005,0.01308
6/30/2005,6,2005,0.01212
7/29/2005,7,2005,0.0137
8/31/2005,8,2005,0.0138625
9/30/2005,9,2005,0.0153
10/31/2005,10,2005,0.01633
11/30/2005,11,2005,0.015535
12/30/2005,12,2005,0.01612
1/31/2006,1,2006,0.01682
2/28/2006,2,2006,0.01802
3/31/2006,3,2006,0.02025
4/28/2006,4,2006,0.02167
5/31/2006,5,2006,0.020705
6/30/2006,6,2006,0.021475
7/31/2006,7,2006,0.02127
8/31/2006,8,2006,0.018125
9/29/2006,9,2006,0.01839
10/31/2006,10,2006,0.018925
11/30/2006,11,2006,0.018175
12/29/2006,12,2006,0.01814
1/31/2007,1,2007,0.0182875
2/28/2007,2,2007,0.0179
3/30/2007,3,2007,0.0181
4/30/2007,4,2007,0.01773
5/31/2007,5,2007,0.019405
6/29/2007,6,2007,0.020705
7/31/2007,7,2007,0.020365
