Date,Month,Year,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
3/1/1999,3,1999,0,0,2,2,11,0,1,0,2,2,5,0,1,0,0,0,0,1,0,0,4,4,1,1,0,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,3,4,0,2,0,0,1,0
4/1/1999,4,1999,0,0,1,0,8,3,1,1,2,8,2,1,1,4,1,0,0,0,0,0,3,0,0,2,0,4,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,1,2,0,1,0
5/1/1999,5,1999,0,0,0,1,15,2,1,0,0,8,5,0,0,4,0,0,0,2,2,0,6,0,2,3,2,3,1,0,0,1,1,1,0,2,1,1,1,2,2,0,1,0,6,3,3,0,3,5,0,1,0
6/1/1999,6,1999,2,0,3,0,14,5,4,0,0,0,5,0,3,6,2,0,1,0,1,0,7,2,3,1,1,2,1,0,2,0,1,1,1,2,0,3,1,1,2,0,3,0,4,7,5,0,0,3,0,1,0
7/1/1999,7,1999,0,0,0,1,39,7,0,0,0,16,18,1,4,4,6,0,2,1,3,1,1,3,1,3,1,7,0,1,0,0,2,0,2,2,0,7,2,2,2,0,1,1,2,4,11,0,5,9,0,2,0
8/1/1999,8,1999,1,0,3,0,52,5,2,0,4,16,7,0,0,13,4,2,2,2,1,0,4,3,9,2,1,6,2,0,3,0,3,1,2,4,0,5,5,4,5,2,1,0,7,13,13,0,2,7,2,1,1
9/1/1999,9,1999,1,0,4,0,31,6,3,0,3,19,6,0,4,13,6,1,0,1,3,0,8,1,8,4,0,9,0,0,4,1,0,1,5,4,0,8,3,9,5,2,1,0,7,17,8,0,1,8,1,2,0
10/1/1999,10,1999,4,0,5,0,55,8,4,1,3,31,15,1,2,12,8,2,0,2,4,1,12,3,8,4,1,19,2,1,2,0,4,4,5,4,1,7,2,4,6,4,2,0,12,12,15,1,6,20,0,2,0
11/1/1999,11,1999,3,0,6,3,39,6,6,0,8,42,9,0,4,21,8,1,1,0,1,0,12,2,7,7,2,12,3,0,2,1,5,4,6,6,0,6,1,6,5,2,1,0,9,6,14,0,11,10,1,1,0
12/1/1999,12,1999,3,0,10,0,48,8,7,1,8,38,11,1,4,13,9,2,1,0,3,0,7,3,7,2,0,13,1,2,2,1,4,4,4,6,1,7,2,5,9,1,3,1,11,14,14,0,5,17,0,2,0
1/1/2000,1,2000,1,0,8,4,47,6,6,0,3,36,10,3,5,19,11,1,1,1,3,0,12,10,11,9,2,17,1,1,6,0,8,5,9,5,0,13,4,10,12,6,5,0,11,19,8,0,3,12,3,1,1
2/1/2000,2,2000,2,1,6,1,39,8,4,3,3,43,12,1,7,17,10,3,2,0,6,0,10,2,11,3,2,18,2,2,4,1,5,2,10,8,0,11,5,6,6,3,4,0,15,22,13,0,2,19,0,6,1
3/1/2000,3,2000,4,0,10,6,40,9,11,1,2,43,9,2,6,16,9,1,0,6,8,0,27,4,11,5,1,16,0,4,3,0,2,8,7,8,0,7,9,4,7,1,4,0,11,27,13,0,4,13,4,6,0
4/1/2000,4,2000,1,1,9,10,49,13,5,0,2,60,30,1,3,30,15,3,6,5,4,1,12,5,22,10,4,33,3,2,2,3,7,3,8,13,0,15,4,10,9,5,7,0,20,28,25,0,11,24,4,9,0
5/1/2000,5,2000,2,0,12,2,50,7,7,0,3,53,22,1,9,28,21,2,4,3,4,0,23,12,23,8,7,31,3,2,3,0,6,7,13,13,0,25,8,15,14,3,6,0,31,25,10,0,9,28,2,13,2
6/1/2000,6,2000,3,1,14,3,60,4,10,0,3,74,23,0,5,27,16,6,6,1,12,1,26,8,24,10,5,30,1,2,9,0,4,0,19,15,1,25,8,12,14,5,5,0,26,33,19,0,14,18,2,12,0
7/1/2000,7,2000,0,1,14,3,59,7,22,3,5,82,29,0,6,24,18,2,3,2,10,1,24,2,26,10,6,27,2,2,6,1,7,5,15,12,0,21,10,8,23,3,11,0,22,51,18,0,16,21,6,8,0
8/1/2000,8,2000,5,0,14,3,54,12,4,3,1,73,30,1,2,24,20,1,2,4,13,1,33,5,31,8,10,32,2,1,7,1,8,8,19,13,0,31,9,14,15,5,5,0,33,46,18,0,7,21,1,8,2
9/1/2000,9,2000,5,0,21,3,70,14,20,7,2,109,33,0,9,45,36,11,5,11,16,0,62,9,40,11,13,44,3,3,15,0,14,10,20,29,1,59,7,8,26,8,15,0,39,35,18,0,25,28,6,19,0
10/1/2000,10,2000,8,0,15,5,91,12,19,5,3,120,26,0,10,49,41,7,4,8,20,1,56,11,42,17,5,44,5,3,12,2,12,3,22,18,0,55,11,13,32,4,23,0,41,45,21,0,20,25,4,17,1
11/1/2000,11,2000,10,1,22,4,89,9,16,2,6,135,26,3,10,51,47,6,6,10,14,3,36,7,64,15,11,30,0,2,10,1,19,7,25,23,0,55,15,16,23,4,12,0,47,39,18,0,23,43,2,12,3
12/1/2000,12,2000,14,0,19,2,65,9,15,4,5,112,37,0,10,58,49,6,6,11,24,3,54,7,46,15,10,43,1,0,14,2,18,8,40,33,0,61,17,24,35,6,19,0,45,59,26,0,29,29,11,15,2
1/1/2001,1,2001,8,2,13,7,72,18,10,5,9,101,48,13,14,58,48,8,5,4,19,1,72,10,40,23,9,38,5,2,15,1,15,10,34,23,0,52,18,17,33,3,12,2,53,53,25,0,33,35,2,8,2
2/1/2001,2,2001,9,1,21,5,69,13,17,2,3,114,50,6,10,59,44,5,11,12,18,4,58,8,48,7,17,43,3,2,9,1,8,6,32,33,0,58,19,22,35,3,15,0,52,60,27,0,42,26,3,15,0
3/1/2001,3,2001,16,1,18,7,85,13,14,3,4,117,42,2,15,56,56,8,9,19,21,2,72,9,36,18,8,49,4,6,12,0,11,6,30,38,0,78,16,24,32,6,9,0,34,74,37,1,23,31,5,14,3
4/1/2001,4,2001,20,1,26,7,108,15,23,5,8,157,57,7,12,65,77,7,11,15,36,2,67,10,54,17,8,54,5,10,30,2,20,22,43,29,0,83,17,31,40,7,17,1,57,63,39,0,21,47,7,17,0
5/1/2001,5,2001,17,1,32,12,85,15,23,4,11,138,58,3,14,62,68,12,14,17,33,1,69,16,75,22,14,64,5,2,27,2,19,15,44,34,1,74,18,26,50,9,26,1,45,75,41,0,31,52,17,21,3
6/1/2001,6,2001,21,1,33,12,87,16,23,7,5,174,71,4,18,63,71,10,6,20,31,1,62,11,79,23,11,59,4,10,15,3,27,18,44,33,0,87,31,34,50,5,28,2,75,85,29,1,22,56,3,19,5
7/1/2001,7,2001,17,1,44,9,100,15,18,6,5,155,69,6,12,75,70,12,8,28,38,2,76,14,52,13,8,63,2,5,22,2,22,19,53,37,3,76,25,41,49,10,29,0,74,70,37,1,28,62,7,29,1
8/1/2001,8,2001,19,1,29,15,105,17,26,5,4,170,68,3,15,73,71,8,16,30,24,3,63,14,88,14,12,58,1,6,29,1,26,13,56,47,1,107,31,27,55,9,32,2,54,91,56,0,38,55,7,21,3
9/1/2001,9,2001,19,0,24,14,103,21,28,6,6,156,73,7,23,76,67,9,12,23,30,0,64,20,71,15,11,57,3,3,18,4,27,12,45,31,1,113,21,20,60,7,33,0,63,89,32,0,43,40,9,23,1
10/1/2001,10,2001,21,4,40,8,77,12,23,7,7,134,58,2,15,80,84,10,13,22,32,6,58,14,83,10,14,68,5,8,12,4,23,8,38,45,4,97,27,40,61,5,30,0,67,79,56,0,39,48,8,17,3
11/1/2001,11,2001,35,1,44,13,98,28,25,2,3,189,89,9,21,78,85,16,13,27,53,7,63,11,97,20,16,55,5,11,25,4,27,25,52,50,0,119,31,42,74,11,43,0,72,99,46,0,34,63,7,33,6
12/1/2001,12,2001,43,1,42,11,95,26,26,6,3,175,97,5,25,113,108,16,16,22,53,1,62,9,106,25,25,81,4,19,20,3,36,24,57,72,1,158,31,55,71,7,44,3,82,110,68,1,49,85,11,38,3
1/1/2002,1,2002,44,1,42,16,112,29,39,7,4,156,85,11,30,95,95,20,22,24,40,2,60,8,73,17,18,70,5,3,25,4,36,18,52,37,1,132,30,39,68,3,32,3,82,108,52,1,37,56,7,25,3
2/1/2002,2,2002,35,1,57,16,89,25,21,4,9,200,84,7,17,130,122,17,20,25,43,7,66,6,96,28,22,96,7,14,29,3,38,20,55,58,2,133,39,46,79,6,41,1,80,120,43,1,32,60,9,34,3
3/1/2002,3,2002,47,2,57,20,90,33,22,5,3,195,105,3,31,134,163,33,28,41,63,2,96,16,133,27,25,102,5,8,23,4,39,29,82,61,1,197,47,38,96,6,48,0,117,119,65,0,56,76,20,39,0
4/1/2002,4,2002,54,2,71,17,150,35,44,7,2,236,131,10,26,161,173,26,26,49,70,4,109,15,164,30,45,117,6,22,31,7,33,37,69,69,1,207,55,49,160,10,66,1,119,167,74,1,66,86,14,40,3
5/1/2002,5,2002,47,2,76,24,147,48,34,9,9,214,109,6,28,148,193,33,26,54,73,7,101,14,146,22,36,109,5,10,38,7,44,36,68,82,5,219,65,53,143,10,68,2,95,150,75,2,47,92,17,42,6
6/1/2002,6,2002,69,2,70,20,161,55,39,5,6,258,129,7,24,138,161,35,31,42,56,2,76,23,162,33,33,113,6,17,43,9,37,32,85,90,3,188,50,62,116,9,63,3,108,193,72,1,53,113,12,48,0
7/1/2002,7,2002,56,2,76,24,126,44,50,7,4,248,119,10,39,159,134,29,20,45,75,7,72,19,149,32,26,108,8,24,41,1,50,31,87,71,1,203,43,54,122,8,62,3,98,143,62,2,56,92,12,41,3
8/1/2002,8,2002,62,2,77,22,132,45,27,6,4,239,111,10,23,146,154,29,24,51,66,8,79,15,182,28,34,122,4,14,50,6,38,24,95,87,1,225,43,68,129,11,71,2,121,149,77,3,51,91,15,43,4
9/1/2002,9,2002,57,6,77,16,135,59,36,8,9,251,167,5,23,148,156,33,30,45,71,7,70,22,174,21,38,114,10,16,39,8,46,29,93,102,2,182,64,61,117,5,79,3,128,185,90,1,79,94,11,48,2
10/1/2002,10,2002,60,1,105,19,103,56,35,3,6,239,145,2,31,132,170,25,34,51,41,5,64,13,166,28,33,116,8,24,49,4,41,38,102,86,2,195,42,50,118,6,78,1,130,168,68,0,67,86,14,56,3
11/1/2002,11,2002,47,4,96,27,108,62,37,14,6,261,167,7,43,165,171,31,32,49,43,7,76,24,197,26,35,136,6,25,42,5,52,35,85,127,4,225,47,74,99,4,83,2,133,175,88,0,61,98,13,39,4
12/1/2002,12,2002,57,4,91,19,116,62,39,10,4,228,158,8,22,150,136,39,32,35,62,5,71,16,218,38,36,126,8,11,50,7,38,32,89,109,4,222,55,57,85,8,78,2,130,195,85,2,54,93,16,61,4
1/1/2003,1,2003,58,2,92,24,122,74,27,5,2,250,160,4,30,158,185,37,29,39,77,5,82,12,184,35,44,130,6,27,49,8,35,33,96,110,4,226,57,70,134,6,67,2,130,210,91,4,57,95,16,52,4
2/1/2003,2,2003,69,5,92,28,118,66,40,12,4,294,172,5,38,208,208,47,31,64,81,7,87,11,206,53,37,140,11,25,62,3,44,28,112,139,2,253,61,67,126,5,82,5,136,246,104,2,65,114,12,56,5
3/1/2003,3,2003,82,2,80,30,110,78,32,10,5,267,211,7,27,210,192,49,31,61,74,12,72,10,261,49,54,151,6,30,58,3,36,35,116,110,5,256,65,56,152,7,102,7,162,223,114,0,53,106,14,53,4
4/1/2003,4,2003,68,3,126,34,122,91,40,7,8,318,237,8,43,232,244,52,44,68,88,11,89,22,289,47,68,162,11,31,55,4,50,31,149,168,3,283,68,71,160,4,103,2,186,253,133,3,70,131,12,54,5
5/1/2003,5,2003,71,3,135,37,133,89,37,12,3,332,227,7,49,282,253,42,45,73,82,10,79,33,250,60,52,154,17,32,58,3,52,44,145,146,4,276,80,87,163,5,100,4,169,297,149,1,91,121,14,72,3
6/1/2003,6,2003,85,1,123,46,121,99,45,14,5,335,213,3,34,256,232,60,41,75,99,8,88,22,243,72,54,151,8,31,57,5,53,39,136,162,6,302,70,70,185,7,112,2,186,256,121,0,89,130,15,70,6
7/1/2003,7,2003,64,4,120,18,128,93,39,15,7,324,233,4,33,249,220,47,39,79,128,7,92,25,246,50,70,140,9,34,70,5,38,40,122,161,3,308,75,69,229,4,114,6,153,298,109,3,66,147,8,78,6
8/1/2003,8,2003,84,10,103,24,128,110,35,10,5,287,216,6,30,213,237,53,31,64,114,10,67,35,283,56,65,141,2,21,46,5,56,50,111,168,1,300,65,93,174,7,104,1,181,272,93,3,73,133,21,66,3
9/1/2003,9,2003,65,5,98,35,142,98,46,8,5,352,236,2,33,224,252,46,45,72,114,13,84,29,293,63,71,166,11,39,48,4,60,41,141,153,6,313,64,72,264,2,118,2,163,317,94,2,81,126,19,74,5
10/1/2003,10,2003,73,1,106,36,138,144,33,8,7,322,246,4,43,240,245,49,37,69,108,15,68,35,291,52,60,189,10,27,66,3,41,43,115,178,2,279,54,63,146,2,124,5,164,318,120,3,50,131,20,67,2
11/1/2003,11,2003,101,3,134,44,136,138,40,16,2,342,241,3,35,257,278,55,39,76,102,10,64,25,297,57,75,186,4,24,56,7,51,42,124,168,2,333,76,77,155,4,85,5,167,318,113,4,67,129,15,91,6
12/1/2003,12,2003,89,1,101,23,113,144,38,8,3,292,240,6,35,230,237,57,43,76,111,20,73,23,312,46,55,148,5,15,44,9,42,34,125,192,0,300,67,77,159,3,95,3,180,283,105,0,54,99,17,60,2
