Date,Year,Month,National
1/1/1975,1975,1,703.69
2/1/1975,1975,2,739.05
3/1/1975,1975,3,768.15
4/1/1975,1975,4,821.34
5/1/1975,1975,5,832.29
6/1/1975,1975,6,878.99
7/1/1975,1975,7,831.51
8/1/1975,1975,8,835.34
9/1/1975,1975,9,793.88
10/1/1975,1975,10,836.04
11/1/1975,1975,11,860.67
12/1/1975,1975,12,852.41
1/1/1976,1976,1,975.28
2/1/1976,1976,2,972.61
3/1/1976,1976,3,999.45
4/1/1976,1976,4,996.85
5/1/1976,1976,5,975.23
6/1/1976,1976,6,1002.78
7/1/1976,1976,7,984.64
8/1/1976,1976,8,973.74
9/1/1976,1976,9,990.19
10/1/1976,1976,10,964.93
11/1/1976,1976,11,947.22
12/1/1976,1976,12,1004.65
1/1/1977,1977,1,954.37
2/1/1977,1977,2,936.42
3/1/1977,1977,3,919.13
4/1/1977,1977,4,926.9
5/1/1977,1977,5,898.66
6/1/1977,1977,6,916.3
7/1/1977,1977,7,890.07
8/1/1977,1977,8,861.49
9/1/1977,1977,9,847.11
10/1/1977,1977,10,818.35
11/1/1977,1977,11,829.7
12/1/1977,1977,12,831.17
1/1/1978,1978,1,769.92
2/1/1978,1978,2,742.12
3/1/1978,1978,3,757.36
4/1/1978,1978,4,837.32
5/1/1978,1978,5,840.61
6/1/1978,1978,6,818.95
7/1/1978,1978,7,862.27
8/1/1978,1978,8,876.82
9/1/1978,1978,9,865.82
10/1/1978,1978,10,792.45
11/1/1978,1978,11,799.03
12/1/1978,1978,12,805.01
1/1/1979,1979,1,839.22
2/1/1979,1979,2,808.82
3/1/1979,1979,3,862.18
4/1/1979,1979,4,854.9
5/1/1979,1979,5,822.33
6/1/1979,1979,6,841.98
7/1/1979,1979,7,846.42
8/1/1979,1979,8,887.63
9/1/1979,1979,9,878.58
10/1/1979,1979,10,815.7
11/1/1979,1979,11,822.35
12/1/1979,1979,12,838.74
1/1/1980,1980,1,875.85
2/1/1980,1980,2,863.14
3/1/1980,1980,3,785.75
4/1/1980,1980,4,817.06
5/1/1980,1980,5,850.85
6/1/1980,1980,6,867.92
7/1/1980,1980,7,935.32
8/1/1980,1980,8,932.59
9/1/1980,1980,9,932.42
10/1/1980,1980,10,924.49
11/1/1980,1980,11,993.34
12/1/1980,1980,12,963.99
1/1/1981,1981,1,947.27
2/1/1981,1981,2,974.58
3/1/1981,1981,3,1003.87
4/1/1981,1981,4,997.75
5/1/1981,1981,5,991.75
6/1/1981,1981,6,976.88
7/1/1981,1981,7,952.34
8/1/1981,1981,8,881.47
9/1/1981,1981,9,849.98
10/1/1981,1981,10,852.55
11/1/1981,1981,11,888.98
12/1/1981,1981,12,875
1/1/1982,1982,1,871.1
2/1/1982,1982,2,824.39
3/1/1982,1982,3,822.77
4/1/1982,1982,4,848.36
5/1/1982,1982,5,819.54
6/1/1982,1982,6,811.93
7/1/1982,1982,7,808.6
8/1/1982,1982,8,901.31
9/1/1982,1982,9,896.25
10/1/1982,1982,10,991.72
11/1/1982,1982,11,1039.28
12/1/1982,1982,12,1046.54
